Iteration	SSE	Accepted
177	27463.992499999993	yes
178	26829.172499999993	yes
179	26811.572500000017	yes
180	26497.63250000001	yes
181	27958.812499999993	no
182	26792.812499999993	yes
183	28923.8725	no
184	28756.012500000004	no
185	26447.43250000001	yes
186	26194.69249999999	yes
187	26332.212499999994	yes
188	27617.432500000003	yes
189	27092.152499999993	yes
190	27501.432499999995	no
191	28808.69250000001	yes
192	26523.872500000005	yes
193	28039.11249999999	no
194	25206.412500000002	yes
195	26975.032499999994	no
196	26024.9925	no
197	26376.472500000003	no
198	26230.4325	no
199	27471.372499999983	no
200	25459.3525	yes
201	28153.552500000013	no
202	26306.372499999998	no
203	27063.732499999987	no
204	25832.49249999999	no
205	26252.732500000006	no
206	27615.732500000006	no
207	25403.512499999997	yes
208	27843.73250000001	no
209	27088.79249999999	no
210	26815.37250000001	no
211	26328.4525	no
212	29067.15249999999	no
213	25047.332499999986	yes
214	27261.932499999995	no
215	27247.6125	no
216	26268.85250000001	no
217	27383.952499999992	no
218	27581.23249999999	no
219	25671.9325	no
220	26242.6325	no
221	27447.93249999999	no
222	26561.212499999987	no
223	27103.692499999994	no
224	26334.61249999999	no
225	27526.6325	no
226	25258.092500000006	yes
227	25385.492499999993	yes
228	26694.69249999999	no
229	26667.972500000007	no
230	27677.412499999995	no
231	27080.952499999996	no
232	27961.472500000003	no
233	27701.792499999996	no
234	24833.67250000002	yes
235	26030.4125	no
236	26883.012499999993	no
237	26217.37249999999	no
238	27685.072499999987	no
239	27225.832500000008	no
240	27856.832499999997	no
241	26321.752499999988	no
242	27024.272499999995	no
243	25619.1925	yes
244	25308.952499999992	yes
245	26982.372499999998	no
246	27566.392499999994	no
247	27767.452499999985	no
248	27855.0925	no
249	24594.212500000016	yes
250	26886.152499999982	no
251	25374.152499999982	yes
252	26885.472499999996	no
253	25596.452499999992	no
254	27949.132500000007	no
255	25484.8525	yes
256	26575.432499999984	no
257	24512.372499999998	yes
258	26619.8725	no
259	26111.99249999998	no
260	27178.372500000005	no
261	26444.792499999992	no
262	27520.832500000004	no
263	25406.832500000022	no
264	27098.39250000001	no
265	28013.23249999999	no
266	27005.85249999998	no
267	26983.71249999998	no
268	26804.492499999986	no
269	27632.9325	no
270	26325.55250000002	no
271	27098.712499999994	no
272	27046.23249999999	no
273	27152.252499999995	no
274	26157.232500000002	no
275	26560.67250000002	no
276	27565.3525	no
277	26157.332500000022	no
278	26407.572499999995	no
279	27721.452499999985	no
280	27090.692500000005	no
281	25991.472499999993	no
282	25752.392500000016	no
283	26958.2725	no
284	25020.292500000007	no
285	25794.652500000004	no
286	26694.732499999995	no
287	26070.792500000003	no
288	25605.832500000008	no
289	25250.892499999994	no
290	27097.752500000002	no
291	26604.952499999996	no
292	26601.892499999987	no
293	25767.012499999997	no
294	25802.732500000006	no
295	25449.452499999996	no
296	25292.592499999977	no
297	26367.49249999998	no
298	27004.352499999994	no
299	25688.87249999999	no
300	26276.952500000014	no
301	26492.652499999997	no
302	34254.1725	no
303	26373.51249999999	no
304	26122.21250000001	no
305	25860.272500000003	no
306	25319.632500000007	no
307	26125.4925	no
308	27969.172499999993	no
309	25982.332499999997	no
310	26581.05249999999	no
311	26159.832499999997	no
312	25641.172499999993	no
313	26464.3125	no
314	26306.3125	no
315	28019.412500000006	no
316	26050.33249999999	no
317	18989.9125	yes
318	17832.492500000004	yes
319	19216.57249999999	no
320	21928.952499999996	no
321	17086.392499999994	yes
322	22165.452499999992	no
323	19864.1125	no
324	17944.53250000001	yes
325	17323.112500000007	yes
326	20335.39249999999	no
327	19283.65249999999	no
328	19400.552499999987	no
329	20810.11249999999	no
330	19760.692499999986	no
331	18891.19249999999	no
332	19579.23249999999	no
333	19937.45249999999	no
334	20448.93249999999	no
335	20154.15249999999	no
336	22034.95249999999	no
337	20049.69249999999	no
338	18777.61249999998	no
339	24044.992499999993	no
340	19040.012499999997	no
341	19697.172499999993	no
342	22000.892499999994	no
343	19833.65249999999	no
344	19509.812499999993	no
345	18758.432499999995	no
346	18840.95249999999	no
347	20538.332500000004	no
348	20122.012499999983	no
349	17726.8325	yes
350	19968.492499999986	no
351	18822.492500000008	no
352	17774.41249999999	yes
