Iteration	SSE	Accepted
275	410.0975000000002	yes
276	1290.17	no
277	1030.23	no
278	383.4050000000002	yes
279	551.3999999999999	no
280	305.9700000000001	yes
281	443.5550000000001	yes
282	428.20250000000027	yes
283	457.44749999999993	yes
284	200.76500000000007	yes
285	479.0225	yes
286	686.0399999999997	no
287	377.61999999999995	yes
288	404.9025000000001	yes
289	298.0475000000002	yes
290	496.3225000000004	yes
291	384.3225	yes
292	624.6675000000001	yes
293	439.15000000000015	yes
294	524.3025	yes
295	481.1750000000001	yes
296	583.2250000000003	yes
297	501.33500000000015	yes
298	824.1200000000005	yes
299	1013.6575000000003	yes
300	1031.545	yes
301	1291.5300000000007	yes
302	476.3550000000001	yes
303	317.3175000000001	yes
304	434.74749999999983	yes
305	254.14999999999986	yes
306	482.105	no
307	517.9250000000004	no
308	277.41749999999996	yes
309	821.6250000000001	yes
310	444.6950000000001	yes
311	469.75999999999993	yes
312	500.91750000000013	yes
313	548.4425	yes
314	1096.475	no
315	1610.0324999999996	yes
316	2012.9349999999995	yes
317	2693.2299999999996	yes
318	2669.3325	yes
319	3633.7099999999996	no
320	2581.9474999999993	yes
321	1835.5749999999994	yes
322	1671.0649999999996	yes
323	1668.6299999999997	yes
324	3359.3149999999987	no
325	1338.6999999999998	yes
326	1625.207499999999	yes
327	1326.2775000000001	yes
328	1261.1374999999998	yes
329	967.9949999999993	yes
330	2331.995	no
331	2135.5724999999984	no
332	618.8999999999999	yes
333	2919.840000000001	no
334	2136.7349999999997	no
335	413.0925000000001	yes
336	366.66750000000013	yes
337	242.7150000000001	yes
338	276.9275000000002	yes
339	237.58500000000012	yes
340	246.44250000000014	yes
341	648.7824999999997	yes
342	651.1075000000001	yes
343	452.5000000000001	yes
344	1724.2950000000005	no
345	273.19000000000005	yes
346	280.02000000000015	yes
347	368.77500000000003	yes
348	477.5925000000001	no
349	1526.9499999999991	no
350	449.37000000000023	yes
351	287.42500000000024	yes
352	253.1750000000001	yes
353	555.125	yes
354	138.74250000000006	yes
355	528.5325	yes
356	732.7649999999999	yes
357	1616.0424999999998	no
358	448.25250000000005	yes
359	343.77250000000004	yes
360	848.2225000000003	no
361	1537.2900000000002	yes
362	1672.6724999999997	yes
363	1206.4375	yes
364	304.78749999999997	yes
365	610.3024999999999	yes
366	534.905	yes
367	537.7350000000001	yes
368	636.355	yes
369	754.0325000000003	yes
370	734.3299999999999	yes
371	729.945	yes
372	1012.8475000000002	yes
373	1583.9200000000005	yes
374	1230.4399999999998	yes
375	1553.3900000000003	yes
376	573.6350000000002	yes
377	1229.405	yes
378	3161.3200000000006	no
379	1365.8950000000002	no
380	2881.6650000000004	no
381	1044.0000000000005	yes
382	1720.2925000000002	yes
383	1158.1875000000005	yes
384	1332.3925000000004	yes
385	1015.9475	yes
386	1514.7400000000002	yes
387	683.6050000000001	yes
388	950.7500000000001	yes
389	680.2449999999999	yes
390	1036.2524999999998	no
391	702.0900000000001	yes
392	1033.6474999999998	yes
393	824.7775	yes
394	926.3824999999998	yes
395	1018.4574999999995	no
396	780.6524999999997	yes
397	1108.7474999999995	yes
398	3411.1825000000017	no
399	1018.9650000000001	yes
400	1971.4750000000008	no
401	1000.7275000000002	yes
402	1655.9924999999998	yes
403	1673.6599999999999	yes
404	10421.505000000006	no
405	1030.06	yes
406	769.6675	yes
407	1672.0100000000002	no
408	1079.1749999999997	no
409	1170.4150000000004	no
410	1096.8100000000002	no
411	557.1074999999997	yes
412	549.115	yes
413	1009.0625	no
414	636.5749999999998	yes
415	605.0325	yes
416	747.2499999999998	yes
417	607.8674999999998	yes
418	669.4700000000004	yes
419	604.6949999999999	yes
420	630.3525000000001	yes
421	617.3224999999999	yes
422	938.7450000000003	no
423	782.6674999999998	yes
424	659.5525	yes
425	2148.1425000000004	no
426	1296.6974999999995	no
427	1140.2350000000001	no
428	924.4349999999997	yes
429	728.0575	yes
430	820.4999999999998	yes
431	832.7549999999999	yes
432	740.0374999999999	yes
433	829.9024999999999	yes
434	971.24	yes
435	985.7049999999995	yes
436	1932.4474999999998	no
437	1914.0000000000011	no
438	1401.2950000000003	yes
439	1303.8849999999998	yes
440	1433.8549999999993	yes
441	862.2750000000001	yes
442	1038.1749999999995	yes
443	1389.8799999999997	yes
444	1971.225	no
445	969.0574999999997	yes
446	1807.6675000000005	no
447	2616.4100000000008	no
448	1055.1575	yes
449	1769.8799999999999	no
450	1465.1150000000002	no
451	1240.6449999999998	no
452	1145.8150000000005	yes
453	1546.0800000000004	no
454	2150.804999999999	yes
455	1792.7574999999993	yes
456	1207.4875000000002	yes
457	2957.9125000000013	no
458	614.7125000000003	yes
459	1732.6250000000005	yes
460	2113.5274999999992	yes
461	1085.4549999999995	yes
462	1591.4824999999994	no
463	1643.5375	yes
464	2131.5150000000003	no
465	1936.7149999999995	no
466	1884.5175	yes
467	2219.4325000000003	no
468	2637.495	no
469	2594.2775	no
470	1798.5125000000007	yes
471	1658.5425000000002	yes
472	706.3500000000003	yes
473	701.2975000000001	yes
474	921.0050000000001	yes
475	865.1049999999998	yes
476	601.9475000000002	yes
477	1323.3849999999993	no
478	934.7650000000003	no
479	578.0025	yes
480	866.9174999999999	yes
481	1246.1974999999998	yes
482	1221.0499999999995	yes
483	1488.1624999999997	no
484	1351.4449999999997	yes
485	1045.2900000000002	yes
486	1455.6450000000004	no
487	714.8250000000002	yes
488	2005.5474999999997	no
489	1753.7324999999996	no
490	1162.0324999999998	no
491	879.4949999999999	yes
492	727.3900000000003	yes
493	739.715	yes
494	1279.2650000000008	yes
495	1065.7449999999994	yes
496	1986.2974999999994	no
497	1049.3924999999995	yes
498	602.6200000000002	yes
499	723.2050000000002	yes
500	1104.6274999999996	yes
501	865.3449999999997	yes
502	897.0399999999996	yes
503	1157.0025000000003	no
504	643.0450000000004	yes
505	1114.8075000000001	yes
506	796.8100000000001	yes
507	1142.2975000000001	yes
508	1076.945	yes
509	1321.0575000000003	yes
510	1061.9250000000002	yes
511	1045.8124999999998	yes
512	1047.2449999999997	yes
513	2726.1400000000003	no
514	566.32	yes
515	1149.7749999999999	yes
516	798.7100000000003	yes
517	1340.5325000000003	no
518	1375.3199999999993	yes
519	873.8249999999999	yes
520	1221.6400000000008	yes
521	1145.4274999999998	yes
522	618.6025000000001	yes
523	746.7025000000003	yes
524	1205.7350000000001	no
525	841.2374999999997	yes
526	1451.3050000000003	yes
527	1318.6750000000002	yes
528	1384.6925	yes
529	1012.0174999999997	yes
530	980.4324999999999	yes
531	1338.5425	no
532	927.2549999999999	yes
533	937.1050000000002	yes
534	784.9350000000002	yes
535	1003.5799999999997	yes
536	1415.7100000000005	no
537	2157.955000000001	no
538	963.1725000000004	yes
539	650.6699999999998	yes
540	829.3174999999999	yes
541	1203.8725000000002	no
542	1585.1874999999995	no
543	1064.6375	yes
544	642.8950000000004	yes
545	736.1399999999999	yes
546	652.3900000000002	yes
547	678.0625000000005	yes
548	846.3475000000002	yes
549	1145.5049999999997	no
550	457.6100000000001	yes
551	1111.5425	no
552	544.4275000000002	no
553	1092.0299999999997	no
554	987.0575000000003	yes
555	686.7925	yes
556	685.8	yes
557	611.3874999999998	yes
558	588.1675000000001	yes
559	975.9525000000001	yes
560	10169.4325	no
561	938.3249999999999	yes
562	536.345	yes
563	491.37750000000005	yes
564	1028.0499999999997	yes
565	660.7249999999999	yes
566	1061.1699999999998	yes
567	1553.8974999999994	no
568	604.2325	yes
569	1065.4549999999997	no
570	1400.135	no
571	722.54	yes
572	816.7649999999998	yes
573	699.0049999999995	yes
574	690.9725000000001	yes
575	996.3525	yes
576	528.8800000000001	yes
577	884.1200000000003	no
578	2223.05	no
579	3004.1050000000014	no
580	480.0425	yes
581	576.7675000000003	yes
582	561.755	yes
583	517.9900000000002	yes
584	546.6800000000001	yes
585	903.2375000000001	no
586	509.69749999999993	yes
587	743.3875000000002	yes
588	905.1025000000002	yes
589	553.3100000000002	yes
590	552.4175000000004	yes
591	645.7625000000005	no
592	803.4549999999999	yes
593	1278.5824999999998	yes
594	1129.1325	yes
595	1347.76	yes
596	861.9974999999998	yes
597	799.4025000000001	yes
598	2372.175	no
599	747.6875000000001	yes
600	1324.4049999999997	no
601	830.1150000000004	yes
602	585.3925000000002	yes
603	1590.77	no
604	602.4	yes
605	1698.3125000000002	yes
606	1165.3574999999996	yes
607	3193.392499999998	no
608	1496.3024999999998	yes
609	1500.5524999999998	yes
610	2824.315	no
611	1736.0974999999987	no
612	1838.0849999999998	no
613	1505.2549999999994	yes
614	924.3174999999997	yes
615	855.6850000000002	yes
616	1168.9050000000002	yes
617	832.2099999999998	yes
618	1359.1524999999995	yes
